Region,Global #,Without DNSSEC #,Without DNSSEC %,With Invalid DNSSEC #,With Invalid DNSSEC %,With Valid DNSSEC #,With Valid DNSSEC %
Arizona,4,2,50.0,0,0.0,2,50.0
Utah,3,2,66.66666666666666,0,0.0,1,33.33333333333333
Iowa,3,2,66.66666666666666,0,0.0,1,33.33333333333333
Pennsylvania,21,16,76.19047619047619,0,0.0,5,23.809523809523807
Oregon,9,7,77.77777777777779,0,0.0,2,22.22222222222222
Wisconsin,15,12,80.0,0,0.0,3,20.0
California,32,27,84.375,0,0.0,5,15.625
Maryland,14,12,85.71428571428571,0,0.0,2,14.285714285714285
Colorado,14,12,85.71428571428571,0,0.0,2,14.285714285714285
South Dakota,7,6,85.71428571428571,0,0.0,1,14.285714285714285
Louisiana,16,14,87.5,0,0.0,2,12.5
Kansas,8,7,87.5,0,0.0,1,12.5
Arkansas,9,8,88.88888888888889,0,0.0,1,11.11111111111111
Tennessee,10,9,90.0,0,0.0,1,10.0
Massachusetts,13,12,92.3076923076923,0,0.0,1,7.6923076923076925
Missouri,13,12,92.3076923076923,0,0.0,1,7.6923076923076925
Texas,41,38,92.6829268292683,0,0.0,3,7.317073170731707
Oklahoma,14,13,92.85714285714286,0,0.0,1,7.142857142857142
Michigan,15,14,93.33333333333333,0,0.0,1,6.666666666666667
Georgia,19,18,94.73684210526315,0,0.0,1,5.263157894736842
New York,40,39,97.5,0,0.0,1,2.5
Ohio,16,16,100.0,0,0.0,0,0.0
Alabama,14,14,100.0,0,0.0,0,0.0
Rhode Island,2,2,100.0,0,0.0,0,0.0
South Carolina,13,13,100.0,0,0.0,0,0.0
Vermont,3,3,100.0,0,0.0,0,0.0
Virginia,15,15,100.0,0,0.0,0,0.0
Washington,8,8,100.0,0,0.0,0,0.0
West Virginia,10,10,100.0,0,0.0,0,0.0
New Mexico,7,7,100.0,0,0.0,0,0.0
New Jersey,13,13,100.0,0,0.0,0,0.0
Minnesota,12,12,100.0,0,0.0,0,0.0
Nevada,3,3,100.0,0,0.0,0,0.0
Alaska,3,3,100.0,0,0.0,0,0.0
Connecticut,11,11,100.0,0,0.0,0,0.0
Delaware,2,2,100.0,0,0.0,0,0.0
District of Columbia,1,1,100.0,0,0.0,0,0.0
Falserth Carolina,16,16,100.0,0,0.0,0,0.0
Falserth Dakota,6,6,100.0,0,0.0,0,0.0
Florida,13,13,100.0,0,0.0,0,0.0
New Hampshire,5,5,100.0,0,0.0,0,0.0
Hawaii,3,3,100.0,0,0.0,0,0.0
Illinois,12,12,100.0,0,0.0,0,0.0
Indiana,14,14,100.0,0,0.0,0,0.0
Kentucky,8,8,100.0,0,0.0,0,0.0
Maine,7,7,100.0,0,0.0,0,0.0
Mississippi,8,8,100.0,0,0.0,0,0.0
Montana,6,6,100.0,0,0.0,0,0.0
Nebraska,7,7,100.0,0,0.0,0,0.0
Idaho,4,4,100.0,0,0.0,0,0.0
Wyoming,1,1,100.0,0,0.0,0,0.0
Total,563,525,93.25044404973357,0,0.0,38,6.74955595026643