Region,Global #,Public #,Public %,Private #,Private %
Wyoming,1,1,100.0,0,0.0
New Mexico,10,7,70.0,3,30.0
North Dakota,9,6,66.66666666666666,3,33.33333333333333
Montana,10,6,60.0,4,40.0
Alaska,5,3,60.0,2,40.0
Louisiana,27,16,59.25925925925925,11,40.74074074074074
Oklahoma,26,14,53.84615384615385,12,46.15384615384615
Colorado,26,14,53.84615384615385,12,46.15384615384615
Idaho,8,4,50.0,4,50.0
West Virginia,20,10,50.0,10,50.0
South Dakota,15,7,46.666666666666664,8,53.333333333333336
Mississippi,18,8,44.44444444444444,10,55.55555555555556
Alabama,32,14,43.75,18,56.25
Maryland,33,14,42.42424242424242,19,57.57575757575758
Maine,17,7,41.17647058823529,10,58.82352941176471
Delaware,5,2,40.0,3,60.0
Connecticut,28,11,39.285714285714285,17,60.71428571428571
Arkansas,23,9,39.130434782608695,14,60.86956521739131
Wisconsin,39,15,38.46153846153847,24,61.53846153846154
Texas,107,41,38.31775700934579,66,61.6822429906542
Hawaii,8,3,37.5,5,62.5
South Carolina,36,13,36.11111111111111,23,63.888888888888886
New Hampshire,14,5,35.714285714285715,9,64.28571428571429
Georgia,55,19,34.54545454545455,36,65.45454545454545
Nebraska,21,7,33.33333333333333,14,66.66666666666666
Michigan,48,15,31.25,33,68.75
Oregon,29,9,31.03448275862069,20,68.96551724137932
Vermont,10,3,30.0,7,70.0
Nevada,10,3,30.0,7,70.0
Minnesota,41,12,29.268292682926827,29,70.73170731707317
Virginia,53,15,28.30188679245283,38,71.69811320754717
Kentucky,29,8,27.586206896551722,21,72.41379310344827
Kansas,29,8,27.586206896551722,21,72.41379310344827
New Jersey,48,13,27.083333333333332,35,72.91666666666666
Washington,30,8,26.666666666666668,22,73.33333333333333
Indiana,53,14,26.41509433962264,39,73.58490566037736
North Carolina,63,16,25.396825396825395,47,74.60317460317461
Missouri,56,13,23.214285714285715,43,76.78571428571429
New York,175,40,22.857142857142858,135,77.14285714285715
Tennessee,44,10,22.727272727272727,34,77.27272727272727
Ohio,74,16,21.62162162162162,58,78.37837837837837
Utah,14,3,21.428571428571427,11,78.57142857142857
California,163,32,19.631901840490798,131,80.3680981595092
Pennsylvania,108,21,19.444444444444446,87,80.55555555555556
Arizona,21,4,19.047619047619047,17,80.95238095238095
Rhode Island,11,2,18.181818181818183,9,81.81818181818183
Massachusetts,73,13,17.80821917808219,60,82.1917808219178
Florida,76,13,17.105263157894736,63,82.89473684210526
Illinois,74,12,16.216216216216218,62,83.78378378378379
Iowa,34,3,8.823529411764707,31,91.17647058823529
District of Columbia,12,1,8.333333333333332,11,91.66666666666666
Total,1971,563,28.564180618975136,1408,71.43581938102486