Region,Quartile,Invalid (pub),HTTP Only (pub),HTTP and HTTPS (pub),HTTP to HTTPS (Same Domain) (pub),HTTP to HTTPS (Other Domain) (pub),HTTPS Only (pub),Invalid (pvt),HTTP Only (pvt),HTTP and HTTPS (pvt),HTTP to HTTPS (Same Domain) (pvt),HTTP to HTTPS (Other Domain) (pvt),HTTPS Only (pvt)
North Carolina,1,0.0,0.0,0.0,93.75,0.0,6.25,0.0,0.0,10.638297872340425,85.1063829787234,2.127659574468085,2.127659574468085
Maryland,1,0.0,0.0,7.142857142857142,85.71428571428571,0.0,7.142857142857142,0.0,0.0,0.0,94.73684210526315,5.263157894736842,0.0
South Carolina,1,0.0,0.0,15.384615384615385,84.61538461538461,0.0,0.0,0.0,0.0,13.043478260869565,82.6086956521739,0.0,4.3478260869565215
California,1,0.0,0.0,3.125,93.75,0.0,3.125,0.0,0.0,6.106870229007633,88.54961832061069,5.343511450381679,0.0
Tennessee,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,97.05882352941177,0.0,2.941176470588235
Virginia,1,0.0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0.0,2.631578947368421,13.157894736842104,81.57894736842105,0.0,2.631578947368421
New York,1,2.5,0.0,7.5,87.5,0.0,2.5,0.0,0.0,12.592592592592592,85.92592592592592,1.4814814814814816,0.0
Missouri,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.3255813953488373,90.69767441860465,4.651162790697675,2.3255813953488373
Pennsylvania,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.1494252873563218,4.597701149425287,90.80459770114942,2.2988505747126435,1.1494252873563218
North Dakota,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Oklahoma,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Rhode Island,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Utah,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Alaska,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Delaware,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
District of Columbia,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Mississippi,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Massachusetts,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.6666666666666667,98.33333333333333,0.0,0.0
Iowa,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,96.7741935483871,3.225806451612903,0.0
Minnesota,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,3.4482758620689653,96.55172413793103,0.0,0.0
Wisconsin,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.166666666666666,95.83333333333334,0.0,0.0
Kansas,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,95.23809523809523,4.761904761904762,0.0
Kentucky,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,4.761904761904762,95.23809523809523,0.0,0.0
Arizona,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.88235294117647,94.11764705882352,0.0,0.0
Connecticut,2,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,5.88235294117647,94.11764705882352,0.0,0.0
Ohio,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,6.896551724137931,93.10344827586206,0.0,0.0
Colorado,3,0.0,0.0,7.142857142857142,92.85714285714286,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Indiana,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,7.6923076923076925,92.3076923076923,0.0,0.0
Illinois,3,0.0,0.0,0.0,100.0,0.0,0.0,1.6129032258064515,0.0,3.225806451612903,91.93548387096774,3.225806451612903,0.0
New Jersey,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,8.571428571428571,91.42857142857143,0.0,0.0
Florida,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,9.523809523809524,88.88888888888889,1.5873015873015872,0.0
Georgia,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11.11111111111111,88.88888888888889,0.0,0.0
New Mexico,3,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
South Dakota,3,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Vermont,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0
Michigan,3,0.0,0.0,6.666666666666667,93.33333333333333,0.0,0.0,0.0,0.0,6.0606060606060606,90.9090909090909,3.0303030303030303,0.0
Alabama,3,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.555555555555555,11.11111111111111,83.33333333333334,0.0,0.0
Arkansas,4,0.0,11.11111111111111,0.0,88.88888888888889,0.0,0.0,0.0,0.0,0.0,92.85714285714286,7.142857142857142,0.0
Oregon,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,5.0,15.0,80.0,0.0,0.0
West Virginia,4,0.0,0.0,10.0,90.0,0.0,0.0,0.0,0.0,10.0,90.0,0.0,0.0
Hawaii,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,20.0,80.0,0.0,0.0
Nebraska,4,0.0,0.0,14.285714285714285,85.71428571428571,0.0,0.0,0.0,0.0,0.0,92.85714285714286,7.142857142857142,0.0
Texas,4,0.0,0.0,0.0,95.1219512195122,4.878048780487805,0.0,0.0,0.0,16.666666666666664,83.33333333333334,0.0,0.0
Washington,4,0.0,0.0,12.5,87.5,0.0,0.0,0.0,0.0,0.0,90.9090909090909,9.090909090909092,0.0
Louisiana,4,0.0,0.0,12.5,87.5,0.0,0.0,0.0,0.0,9.090909090909092,90.9090909090909,0.0,0.0
New Hampshire,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,22.22222222222222,77.77777777777779,0.0,0.0
Idaho,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,25.0,75.0,0.0,0.0
Maine,4,0.0,0.0,14.285714285714285,71.42857142857143,14.285714285714285,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Nevada,4,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Montana,4,0.0,16.666666666666664,16.666666666666664,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Wyoming,4,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,0.17761989342806395,0.3552397868561279,3.374777975133215,94.67140319715807,0.7104795737122558,0.7104795737122558,0.07102272727272728,0.2840909090909091,6.8181818181818175,90.625,1.7755681818181819,0.4261363636363636