Region,Global #,Invalid #,Invalid %,HTTP Only (Public) #,HTTP Only (Public) %,HTTP Only (Private) #,HTTP Only (Private) %,HTTP and HTTPS (Public) #,HTTP and HTTPS (Public) %,HTTP and HTTPS (Private) #,HTTP and HTTPS (Private) %,HTTP to HTTPS (Same Domain) (Public) #,HTTP to HTTPS (Same Domain) (Public) %,HTTP to HTTPS (Same Domain) (Private) #,HTTP to HTTPS (Same Domain) (Private) %,HTTP to HTTPS (Other Domain) (Public) #,HTTP to HTTPS (Other Domain) (Public) %,HTTP to HTTPS (Other Domain) (Private) #,HTTP to HTTPS (Other Domain) (Private) %,HTTPS Only (Public) #,HTTPS Only (Public) %,HTTPS Only (Private) #,HTTPS Only (Private) %
Alabama,32,0,0.0,0,0.0,1,3.125,0,0.0,2,6.25,14,43.75,15,46.875,0,0.0,0,0.0,0,0.0,0,0.0
Nevada,10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,20.0,7,70.0,1,10.0,0,0.0,0,0.0,0,0.0
New Hampshire,14,0,0.0,0,0.0,0,0.0,0,0.0,2,14.285714285714285,5,35.714285714285715,7,50.0,0,0.0,0,0.0,0,0.0,0,0.0
New Jersey,48,0,0.0,0,0.0,0,0.0,0,0.0,3,6.25,13,27.083333333333332,32,66.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0
New Mexico,10,0,0.0,0,0.0,0,0.0,1,10.0,0,0.0,6,60.0,3,30.0,0,0.0,0,0.0,0,0.0,0,0.0
New York,175,1,0.5714285714285714,0,0.0,0,0.0,3,1.7142857142857144,17,9.714285714285714,35,20.0,116,66.28571428571428,0,0.0,2,1.1428571428571428,1,0.5714285714285714,0,0.0
North Carolina,63,0,0.0,0,0.0,0,0.0,0,0.0,5,7.936507936507936,15,23.809523809523807,40,63.49206349206349,0,0.0,1,1.5873015873015872,1,1.5873015873015872,1,1.5873015873015872
North Dakota,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,66.66666666666666,3,33.33333333333333,0,0.0,0,0.0,0,0.0,0,0.0
Ohio,74,0,0.0,0,0.0,0,0.0,0,0.0,4,5.405405405405405,16,21.62162162162162,54,72.97297297297297,0,0.0,0,0.0,0,0.0,0,0.0
Oklahoma,26,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,53.84615384615385,12,46.15384615384615,0,0.0,0,0.0,0,0.0,0,0.0
Oregon,29,0,0.0,0,0.0,1,3.4482758620689653,0,0.0,3,10.344827586206897,9,31.03448275862069,16,55.172413793103445,0,0.0,0,0.0,0,0.0,0,0.0
Pennsylvania,108,0,0.0,0,0.0,1,0.9259259259259258,0,0.0,4,3.7037037037037033,21,19.444444444444446,79,73.14814814814815,0,0.0,2,1.8518518518518516,0,0.0,1,0.9259259259259258
Rhode Island,11,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,18.181818181818183,9,81.81818181818183,0,0.0,0,0.0,0,0.0,0,0.0
South Carolina,36,0,0.0,0,0.0,0,0.0,2,5.555555555555555,3,8.333333333333332,11,30.555555555555557,19,52.77777777777778,0,0.0,0,0.0,0,0.0,1,2.7777777777777777
South Dakota,15,0,0.0,0,0.0,0,0.0,1,6.666666666666667,0,0.0,6,40.0,8,53.333333333333336,0,0.0,0,0.0,0,0.0,0,0.0
Tennessee,44,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,22.727272727272727,33,75.0,0,0.0,0,0.0,0,0.0,1,2.272727272727273
Texas,107,0,0.0,0,0.0,0,0.0,0,0.0,11,10.2803738317757,39,36.44859813084112,55,51.4018691588785,2,1.8691588785046727,0,0.0,0,0.0,0,0.0
Utah,14,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,21.428571428571427,11,78.57142857142857,0,0.0,0,0.0,0,0.0,0,0.0
Vermont,10,0,0.0,0,0.0,0,0.0,0,0.0,1,10.0,3,30.0,6,60.0,0,0.0,0,0.0,0,0.0,0,0.0
Virginia,53,0,0.0,0,0.0,1,1.8867924528301887,1,1.8867924528301887,5,9.433962264150944,14,26.41509433962264,31,58.490566037735846,0,0.0,0,0.0,0,0.0,1,1.8867924528301887
Washington,30,0,0.0,0,0.0,0,0.0,1,3.3333333333333335,0,0.0,7,23.333333333333332,20,66.66666666666666,0,0.0,2,6.666666666666667,0,0.0,0,0.0
West Virginia,20,0,0.0,0,0.0,0,0.0,1,5.0,1,5.0,9,45.0,9,45.0,0,0.0,0,0.0,0,0.0,0,0.0
Nebraska,21,0,0.0,0,0.0,0,0.0,1,4.761904761904762,0,0.0,6,28.57142857142857,13,61.904761904761905,0,0.0,1,4.761904761904762,0,0.0,0,0.0
Wisconsin,39,0,0.0,0,0.0,0,0.0,0,0.0,1,2.564102564102564,15,38.46153846153847,23,58.97435897435898,0,0.0,0,0.0,0,0.0,0,0.0
Missouri,56,0,0.0,0,0.0,0,0.0,0,0.0,1,1.7857142857142856,13,23.214285714285715,39,69.64285714285714,0,0.0,2,3.571428571428571,0,0.0,1,1.7857142857142856
Minnesota,41,0,0.0,0,0.0,0,0.0,0,0.0,1,2.4390243902439024,12,29.268292682926827,28,68.29268292682927,0,0.0,0,0.0,0,0.0,0,0.0
Alaska,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Arizona,21,0,0.0,0,0.0,0,0.0,0,0.0,1,4.761904761904762,4,19.047619047619047,16,76.19047619047619,0,0.0,0,0.0,0,0.0,0,0.0
California,163,0,0.0,0,0.0,0,0.0,1,0.6134969325153374,8,4.9079754601226995,30,18.404907975460123,116,71.16564417177914,0,0.0,7,4.294478527607362,1,0.6134969325153374,0,0.0
Colorado,26,0,0.0,0,0.0,0,0.0,1,3.8461538461538463,0,0.0,13,50.0,12,46.15384615384615,0,0.0,0,0.0,0,0.0,0,0.0
Connecticut,28,0,0.0,0,0.0,0,0.0,0,0.0,1,3.571428571428571,11,39.285714285714285,16,57.14285714285714,0,0.0,0,0.0,0,0.0,0,0.0
Delaware,5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0,0,0.0,0,0.0
District of Columbia,12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,8.333333333333332,11,91.66666666666666,0,0.0,0,0.0,0,0.0,0,0.0
Florida,76,0,0.0,0,0.0,0,0.0,0,0.0,6,7.894736842105263,13,17.105263157894736,56,73.68421052631578,0,0.0,1,1.3157894736842104,0,0.0,0,0.0
Georgia,55,0,0.0,0,0.0,0,0.0,0,0.0,4,7.2727272727272725,19,34.54545454545455,32,58.18181818181818,0,0.0,0,0.0,0,0.0,0,0.0
Hawaii,8,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,3,37.5,4,50.0,0,0.0,0,0.0,0,0.0,0,0.0
Mississippi,18,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,44.44444444444444,10,55.55555555555556,0,0.0,0,0.0,0,0.0,0,0.0
Idaho,8,0,0.0,0,0.0,0,0.0,0,0.0,1,12.5,4,50.0,3,37.5,0,0.0,0,0.0,0,0.0,0,0.0
Indiana,53,0,0.0,0,0.0,0,0.0,0,0.0,3,5.660377358490567,14,26.41509433962264,36,67.9245283018868,0,0.0,0,0.0,0,0.0,0,0.0
Iowa,34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,8.823529411764707,30,88.23529411764706,0,0.0,1,2.941176470588235,0,0.0,0,0.0
Kansas,29,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,27.586206896551722,20,68.96551724137932,0,0.0,1,3.4482758620689653,0,0.0,0,0.0
Kentucky,29,0,0.0,0,0.0,0,0.0,0,0.0,1,3.4482758620689653,8,27.586206896551722,20,68.96551724137932,0,0.0,0,0.0,0,0.0,0,0.0
Louisiana,27,0,0.0,0,0.0,0,0.0,2,7.4074074074074066,1,3.7037037037037033,14,51.85185185185185,10,37.03703703703704,0,0.0,0,0.0,0,0.0,0,0.0
Maine,17,0,0.0,0,0.0,0,0.0,1,5.88235294117647,0,0.0,5,29.411764705882355,10,58.82352941176471,1,5.88235294117647,0,0.0,0,0.0,0,0.0
Maryland,33,0,0.0,0,0.0,0,0.0,1,3.0303030303030303,0,0.0,12,36.36363636363637,18,54.54545454545454,0,0.0,1,3.0303030303030303,1,3.0303030303030303,0,0.0
Massachusetts,73,0,0.0,0,0.0,0,0.0,0,0.0,1,1.36986301369863,13,17.80821917808219,59,80.82191780821918,0,0.0,0,0.0,0,0.0,0,0.0
Michigan,48,0,0.0,0,0.0,0,0.0,1,2.083333333333333,2,4.166666666666666,14,29.166666666666668,30,62.5,0,0.0,1,2.083333333333333,0,0.0,0,0.0
Illinois,74,1,1.3513513513513513,0,0.0,0,0.0,0,0.0,2,2.7027027027027026,12,16.216216216216218,57,77.02702702702703,0,0.0,2,2.7027027027027026,0,0.0,0,0.0
Wyoming,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Arkansas,23,0,0.0,1,4.3478260869565215,0,0.0,0,0.0,0,0.0,8,34.78260869565217,13,56.52173913043478,0,0.0,1,4.3478260869565215,0,0.0,0,0.0
Montana,10,0,0.0,1,10.0,0,0.0,1,10.0,0,0.0,4,40.0,4,40.0,0,0.0,0,0.0,0,0.0,0,0.0
Total,1971,2,0.10147133434804667,2,0.10147133434804667,4,0.20294266869609334,19,0.9639776763064434,96,4.87062404870624,533,27.042110603754438,1276,64.73871131405377,4,0.20294266869609334,25,1.2683916793505834,4,0.20294266869609334,6,0.30441400304414