Region,Quartile,Without SSL (pub),1024 (RSA) (pub),2048 (RSA) (pub),3072 (RSA) (pub),256 (ECC) (pub),4096 (RSA) (pub),384 (ECC) (pub),Without SSL (pvt),1024 (RSA) (pvt),2048 (RSA) (pvt),3072 (RSA) (pvt),256 (ECC) (pvt),4096 (RSA) (pvt),384 (ECC) (pvt)
Maine,1,0.0,0.0,71.42857142857143,0.0,0.0,0.0,28.57142857142857,0.0,0.0,90.0,0.0,0.0,10.0,0.0
Oklahoma,1,0.0,0.0,71.42857142857143,0.0,7.142857142857142,7.142857142857142,14.285714285714285,0.0,0.0,58.333333333333336,0.0,41.66666666666667,0.0,0.0
Virginia,1,0.0,0.0,66.66666666666666,0.0,0.0,20.0,13.333333333333334,5.263157894736842,0.0,84.21052631578947,2.631578947368421,5.263157894736842,2.631578947368421,0.0
Kansas,1,0.0,0.0,50.0,0.0,12.5,25.0,12.5,0.0,0.0,76.19047619047619,14.285714285714285,4.761904761904762,4.761904761904762,0.0
Indiana,1,0.0,0.0,92.85714285714286,0.0,0.0,0.0,7.142857142857142,0.0,0.0,89.74358974358975,0.0,2.564102564102564,7.6923076923076925,0.0
Kentucky,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,80.95238095238095,0.0,9.523809523809524,4.761904761904762,4.761904761904762
California,1,0.0,0.0,90.625,0.0,0.0,6.25,3.125,0.7633587786259541,0.0,89.31297709923665,0.0,5.343511450381679,4.580152671755725,0.0
Missouri,1,0.0,0.0,84.61538461538461,0.0,7.6923076923076925,7.6923076923076925,0.0,0.0,0.0,81.3953488372093,0.0,9.30232558139535,6.976744186046512,2.3255813953488373
Texas,1,0.0,0.0,82.92682926829268,0.0,0.0,17.073170731707318,0.0,0.0,0.0,81.81818181818183,0.0,13.636363636363635,3.0303030303030303,1.5151515151515151
Pennsylvania,1,4.761904761904762,0.0,76.19047619047619,0.0,14.285714285714285,4.761904761904762,0.0,0.0,0.0,91.95402298850574,2.2988505747126435,2.2988505747126435,2.2988505747126435,1.1494252873563218
New York,1,2.5,0.0,85.0,0.0,0.0,12.5,0.0,0.7407407407407408,0.0,79.25925925925927,0.7407407407407408,17.037037037037038,1.4814814814814816,0.7407407407407408
Montana,1,16.666666666666664,0.0,33.33333333333333,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Maryland,1,0.0,0.0,71.42857142857143,0.0,0.0,28.57142857142857,0.0,0.0,0.0,78.94736842105263,0.0,10.526315789473683,10.526315789473683,0.0
Illinois,2,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,82.25806451612904,1.6129032258064515,11.29032258064516,4.838709677419355,0.0
Vermont,2,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,85.71428571428571,0.0,14.285714285714285,0.0,0.0
Hawaii,2,0.0,0.0,66.66666666666666,0.0,0.0,33.33333333333333,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Ohio,2,0.0,0.0,75.0,0.0,0.0,25.0,0.0,1.7241379310344827,0.0,84.48275862068965,0.0,6.896551724137931,6.896551724137931,0.0
North Carolina,2,0.0,0.0,68.75,0.0,6.25,25.0,0.0,0.0,0.0,89.36170212765957,0.0,4.25531914893617,6.382978723404255,0.0
New Hampshire,2,0.0,0.0,80.0,0.0,0.0,20.0,0.0,0.0,0.0,77.77777777777779,0.0,22.22222222222222,0.0,0.0
Georgia,2,0.0,0.0,78.94736842105263,0.0,5.263157894736842,15.789473684210526,0.0,2.7777777777777777,0.0,86.11111111111111,0.0,8.333333333333332,2.7777777777777777,0.0
Massachusetts,2,0.0,0.0,84.61538461538461,0.0,0.0,15.384615384615385,0.0,0.0,0.0,91.66666666666666,0.0,6.666666666666667,1.6666666666666667,0.0
Washington,2,0.0,0.0,87.5,0.0,0.0,12.5,0.0,0.0,0.0,90.9090909090909,0.0,4.545454545454546,4.545454545454546,0.0
Colorado,2,0.0,0.0,92.85714285714286,0.0,0.0,7.142857142857142,0.0,0.0,0.0,83.33333333333334,0.0,8.333333333333332,8.333333333333332,0.0
Louisiana,2,0.0,0.0,93.75,0.0,0.0,6.25,0.0,0.0,0.0,90.9090909090909,0.0,0.0,9.090909090909092,0.0
Wisconsin,2,0.0,0.0,86.66666666666667,0.0,6.666666666666667,6.666666666666667,0.0,0.0,0.0,87.5,4.166666666666666,0.0,8.333333333333332,0.0
New Mexico,3,0.0,0.0,85.71428571428571,0.0,0.0,14.285714285714285,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
South Dakota,3,0.0,0.0,85.71428571428571,0.0,0.0,14.285714285714285,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
New Jersey,3,0.0,0.0,92.3076923076923,0.0,0.0,7.6923076923076925,0.0,2.857142857142857,0.0,57.14285714285714,0.0,34.285714285714285,5.714285714285714,0.0
Tennessee,3,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,94.11764705882352,0.0,2.941176470588235,2.941176470588235,0.0
Alabama,3,0.0,0.0,92.85714285714286,0.0,0.0,7.142857142857142,0.0,0.0,0.0,83.33333333333334,5.555555555555555,5.555555555555555,5.555555555555555,0.0
Mississippi,3,0.0,0.0,87.5,0.0,0.0,12.5,0.0,0.0,10.0,70.0,0.0,20.0,0.0,0.0
Minnesota,3,0.0,0.0,91.66666666666666,0.0,0.0,8.333333333333332,0.0,0.0,0.0,89.65517241379311,3.4482758620689653,3.4482758620689653,3.4482758620689653,0.0
Connecticut,3,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,76.47058823529412,0.0,11.76470588235294,11.76470588235294,0.0
Arkansas,3,0.0,0.0,88.88888888888889,0.0,0.0,11.11111111111111,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Florida,3,0.0,0.0,92.3076923076923,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,90.47619047619048,0.0,6.349206349206349,3.1746031746031744,0.0
Oregon,3,0.0,0.0,88.88888888888889,0.0,11.11111111111111,0.0,0.0,5.0,0.0,80.0,0.0,5.0,10.0,0.0
West Virginia,3,0.0,0.0,90.0,0.0,0.0,10.0,0.0,0.0,0.0,90.0,0.0,10.0,0.0,0.0
Utah,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,0.0,9.090909090909092,0.0
Michigan,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,78.78787878787878,3.0303030303030303,12.121212121212121,6.0606060606060606,0.0
Iowa,4,0.0,0.0,66.66666666666666,0.0,33.33333333333333,0.0,0.0,0.0,0.0,90.32258064516128,6.451612903225806,3.225806451612903,0.0,0.0
Nebraska,4,0.0,0.0,71.42857142857143,0.0,28.57142857142857,0.0,0.0,0.0,0.0,92.85714285714286,0.0,7.142857142857142,0.0,0.0
District of Columbia,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,90.9090909090909,0.0,9.090909090909092,0.0,0.0
Nevada,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
North Dakota,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Rhode Island,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
South Carolina,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,95.65217391304348,4.3478260869565215,0.0,0.0,0.0
Alaska,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Idaho,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
Arizona,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,88.23529411764706,11.76470588235294,0.0,0.0,0.0
Delaware,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,66.66666666666666,33.33333333333333,0.0,0.0,0.0
Wyoming,4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,4,0.5328596802841918,0.0,84.36944937833037,0.0,2.3090586145648313,11.190053285968029,1.5985790408525755,0.5681818181818182,0.07102272727272728,85.6534090909091,1.278409090909091,8.167613636363637,3.90625,0.35511363636363635