Region,Global #,Without SSL #,Without SSL %,256 (ECC) #,256 (ECC) %,384 (ECC) #,384 (ECC) %,1024 (RSA) #,1024 (RSA) %,2048 (RSA) #,2048 (RSA) %,3072 (RSA) #,3072 (RSA) %,4096 (RSA) #,4096 (RSA) %
Virginia,38,2,5.263157894736842,2,5.263157894736842,0,0.0,0,0.0,32,84.21052631578947,1,2.631578947368421,1,2.631578947368421
Oregon,20,1,5.0,1,5.0,0,0.0,0,0.0,16,80.0,0,0.0,2,10.0
New Jersey,35,1,2.857142857142857,12,34.285714285714285,0,0.0,0,0.0,20,57.14285714285714,0,0.0,2,5.714285714285714
Georgia,36,1,2.7777777777777777,3,8.333333333333332,0,0.0,0,0.0,31,86.11111111111111,0,0.0,1,2.7777777777777777
Ohio,58,1,1.7241379310344827,4,6.896551724137931,0,0.0,0,0.0,49,84.48275862068965,0,0.0,4,6.896551724137931
California,131,1,0.7633587786259541,7,5.343511450381679,0,0.0,0,0.0,117,89.31297709923665,0,0.0,6,4.580152671755725
New York,135,1,0.7407407407407408,23,17.037037037037038,1,0.7407407407407408,0,0.0,107,79.25925925925927,1,0.7407407407407408,2,1.4814814814814816
Alabama,18,0,0.0,1,5.555555555555555,0,0.0,0,0.0,15,83.33333333333334,1,5.555555555555555,1,5.555555555555555
Nevada,7,0,0.0,0,0.0,0,0.0,0,0.0,7,100.0,0,0.0,0,0.0
New Hampshire,9,0,0.0,2,22.22222222222222,0,0.0,0,0.0,7,77.77777777777779,0,0.0,0,0.0
New Mexico,3,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
North Carolina,47,0,0.0,2,4.25531914893617,0,0.0,0,0.0,42,89.36170212765957,0,0.0,3,6.382978723404255
North Dakota,3,0,0.0,0,0.0,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0
Oklahoma,12,0,0.0,5,41.66666666666667,0,0.0,0,0.0,7,58.333333333333336,0,0.0,0,0.0
Rhode Island,9,0,0.0,0,0.0,0,0.0,0,0.0,9,100.0,0,0.0,0,0.0
Pennsylvania,87,0,0.0,2,2.2988505747126435,1,1.1494252873563218,0,0.0,80,91.95402298850574,2,2.2988505747126435,2,2.2988505747126435
Montana,4,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
South Carolina,23,0,0.0,0,0.0,0,0.0,0,0.0,22,95.65217391304348,1,4.3478260869565215,0,0.0
South Dakota,8,0,0.0,0,0.0,0,0.0,0,0.0,8,100.0,0,0.0,0,0.0
Tennessee,34,0,0.0,1,2.941176470588235,0,0.0,0,0.0,32,94.11764705882352,0,0.0,1,2.941176470588235
Texas,66,0,0.0,9,13.636363636363635,1,1.5151515151515151,0,0.0,54,81.81818181818183,0,0.0,2,3.0303030303030303
Utah,11,0,0.0,0,0.0,0,0.0,0,0.0,10,90.9090909090909,0,0.0,1,9.090909090909092
Vermont,7,0,0.0,1,14.285714285714285,0,0.0,0,0.0,6,85.71428571428571,0,0.0,0,0.0
Washington,22,0,0.0,1,4.545454545454546,0,0.0,0,0.0,20,90.9090909090909,0,0.0,1,4.545454545454546
West Virginia,10,0,0.0,1,10.0,0,0.0,0,0.0,9,90.0,0,0.0,0,0.0
Nebraska,14,0,0.0,1,7.142857142857142,0,0.0,0,0.0,13,92.85714285714286,0,0.0,0,0.0
Missouri,43,0,0.0,4,9.30232558139535,1,2.3255813953488373,0,0.0,35,81.3953488372093,0,0.0,3,6.976744186046512
Alaska,2,0,0.0,0,0.0,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0
Illinois,62,0,0.0,7,11.29032258064516,0,0.0,0,0.0,51,82.25806451612904,1,1.6129032258064515,3,4.838709677419355
Arizona,17,0,0.0,0,0.0,0,0.0,0,0.0,15,88.23529411764706,2,11.76470588235294,0,0.0
Arkansas,14,0,0.0,0,0.0,0,0.0,0,0.0,14,100.0,0,0.0,0,0.0
Colorado,12,0,0.0,1,8.333333333333332,0,0.0,0,0.0,10,83.33333333333334,0,0.0,1,8.333333333333332
Connecticut,17,0,0.0,2,11.76470588235294,0,0.0,0,0.0,13,76.47058823529412,0,0.0,2,11.76470588235294
Delaware,3,0,0.0,0,0.0,0,0.0,0,0.0,2,66.66666666666666,1,33.33333333333333,0,0.0
District of Columbia,11,0,0.0,1,9.090909090909092,0,0.0,0,0.0,10,90.9090909090909,0,0.0,0,0.0
Florida,63,0,0.0,4,6.349206349206349,0,0.0,0,0.0,57,90.47619047619048,0,0.0,2,3.1746031746031744
Hawaii,5,0,0.0,0,0.0,0,0.0,0,0.0,5,100.0,0,0.0,0,0.0
Idaho,4,0,0.0,0,0.0,0,0.0,0,0.0,4,100.0,0,0.0,0,0.0
Indiana,39,0,0.0,1,2.564102564102564,0,0.0,0,0.0,35,89.74358974358975,0,0.0,3,7.6923076923076925
Mississippi,10,0,0.0,2,20.0,0,0.0,1,10.0,7,70.0,0,0.0,0,0.0
Iowa,31,0,0.0,1,3.225806451612903,0,0.0,0,0.0,28,90.32258064516128,2,6.451612903225806,0,0.0
Kansas,21,0,0.0,1,4.761904761904762,0,0.0,0,0.0,16,76.19047619047619,3,14.285714285714285,1,4.761904761904762
Kentucky,21,0,0.0,2,9.523809523809524,1,4.761904761904762,0,0.0,17,80.95238095238095,0,0.0,1,4.761904761904762
Louisiana,11,0,0.0,0,0.0,0,0.0,0,0.0,10,90.9090909090909,0,0.0,1,9.090909090909092
Maine,10,0,0.0,0,0.0,0,0.0,0,0.0,9,90.0,0,0.0,1,10.0
Maryland,19,0,0.0,2,10.526315789473683,0,0.0,0,0.0,15,78.94736842105263,0,0.0,2,10.526315789473683
Massachusetts,60,0,0.0,4,6.666666666666667,0,0.0,0,0.0,55,91.66666666666666,0,0.0,1,1.6666666666666667
Michigan,33,0,0.0,4,12.121212121212121,0,0.0,0,0.0,26,78.78787878787878,1,3.0303030303030303,2,6.0606060606060606
Minnesota,29,0,0.0,1,3.4482758620689653,0,0.0,0,0.0,26,89.65517241379311,1,3.4482758620689653,1,3.4482758620689653
Wisconsin,24,0,0.0,0,0.0,0,0.0,0,0.0,21,87.5,1,4.166666666666666,2,8.333333333333332
Total,1408,8,0.5681818181818182,115,8.167613636363637,5,0.35511363636363635,1,0.07102272727272728,1206,85.6534090909091,18,1.278409090909091,55,3.90625