Region,Quartile,Without Security Headers (pub),With At Least One Security Header (pub),With All Security Headers (pub),Without Security Headers (pvt),With At Least One Security Header (pvt),With All Security Headers (pvt)
Delaware,1,0.0,100.0,0.0,0.0,100.0,0.0
Rhode Island,1,0.0,100.0,0.0,0.0,100.0,0.0
Arizona,1,0.0,100.0,0.0,0.0,100.0,0.0
Nebraska,1,0.0,100.0,0.0,14.285714285714285,85.71428571428571,0.0
Nevada,1,0.0,100.0,0.0,14.285714285714285,85.71428571428571,0.0
New Mexico,1,14.285714285714285,85.71428571428571,0.0,0.0,100.0,0.0
Utah,1,0.0,100.0,0.0,18.181818181818183,81.81818181818183,0.0
Wisconsin,1,6.666666666666667,93.33333333333333,0.0,12.5,87.5,0.0
Indiana,1,7.142857142857142,92.85714285714286,0.0,12.82051282051282,87.17948717948718,0.0
California,1,6.25,93.75,0.0,14.50381679389313,85.49618320610686,0.0
Washington,1,0.0,100.0,0.0,22.727272727272727,77.27272727272727,0.0
Idaho,1,0.0,100.0,0.0,25.0,75.0,0.0
Ohio,1,6.25,93.75,0.0,18.96551724137931,81.03448275862068,0.0
District of Columbia,2,0.0,100.0,0.0,27.27272727272727,72.72727272727273,0.0
North Carolina,2,12.5,87.5,0.0,17.02127659574468,82.97872340425532,0.0
Oregon,2,0.0,100.0,0.0,30.0,70.0,0.0
Vermont,2,33.33333333333333,66.66666666666666,0.0,0.0,100.0,0.0
North Dakota,2,33.33333333333333,66.66666666666666,0.0,0.0,100.0,0.0
Mississippi,2,25.0,75.0,0.0,10.0,90.0,0.0
Connecticut,2,0.0,100.0,0.0,35.294117647058826,64.70588235294117,0.0
Maryland,2,21.428571428571427,78.57142857142857,0.0,15.789473684210526,84.21052631578947,0.0
Minnesota,2,16.666666666666664,83.33333333333334,0.0,20.689655172413794,79.3103448275862,0.0
South Dakota,2,14.285714285714285,85.71428571428571,0.0,25.0,75.0,0.0
Alabama,2,14.285714285714285,85.71428571428571,0.0,27.77777777777778,72.22222222222221,0.0
Michigan,2,13.333333333333334,86.66666666666667,0.0,30.303030303030305,69.6969696969697,0.0
Massachusetts,3,30.76923076923077,69.23076923076923,0.0,13.333333333333334,86.66666666666667,0.0
Tennessee,3,30.0,70.0,0.0,14.705882352941178,85.29411764705883,0.0
Virginia,3,26.666666666666668,73.33333333333333,0.0,18.421052631578945,81.57894736842105,0.0
Georgia,3,26.31578947368421,73.68421052631578,0.0,19.444444444444446,80.55555555555556,0.0
Iowa,3,33.33333333333333,66.66666666666666,0.0,12.903225806451612,87.09677419354838,0.0
Colorado,3,21.428571428571427,78.57142857142857,0.0,25.0,75.0,0.0
South Carolina,3,38.46153846153847,61.53846153846154,0.0,8.695652173913043,91.30434782608695,0.0
Kansas,3,25.0,75.0,0.0,23.809523809523807,76.19047619047619,0.0
New York,3,15.0,85.0,0.0,34.81481481481482,65.18518518518519,0.0
West Virginia,3,10.0,90.0,0.0,40.0,60.0,0.0
Montana,3,50.0,50.0,0.0,0.0,100.0,0.0
Illinois,3,33.33333333333333,66.66666666666666,0.0,19.35483870967742,80.64516129032258,0.0
Pennsylvania,4,28.57142857142857,71.42857142857143,0.0,24.137931034482758,75.86206896551724,0.0
Maine,4,42.857142857142854,57.14285714285714,0.0,10.0,90.0,0.0
New Hampshire,4,20.0,80.0,0.0,33.33333333333333,66.66666666666666,0.0
Texas,4,21.951219512195124,78.04878048780488,0.0,31.818181818181817,68.18181818181817,0.0
Arkansas,4,44.44444444444444,55.55555555555556,0.0,14.285714285714285,85.71428571428571,0.0
Oklahoma,4,28.57142857142857,71.42857142857143,0.0,33.33333333333333,66.66666666666666,0.0
Florida,4,38.46153846153847,61.53846153846154,0.0,25.396825396825395,74.60317460317461,0.0
New Jersey,4,15.384615384615385,84.61538461538461,0.0,48.57142857142857,51.42857142857142,0.0
Hawaii,4,66.66666666666666,33.33333333333333,0.0,0.0,100.0,0.0
Alaska,4,66.66666666666666,33.33333333333333,0.0,0.0,100.0,0.0
Missouri,4,46.15384615384615,53.84615384615385,0.0,27.906976744186046,72.09302325581395,0.0
Louisiana,4,31.25,68.75,0.0,45.45454545454545,54.54545454545454,0.0
Kentucky,4,62.5,37.5,0.0,14.285714285714285,85.71428571428571,0.0
Wyoming,4,0.0,100.0,0.0,0.0,0.0,0.0
Total,4,20.959147424511546,79.04085257548846,0.0,21.875,78.125,0.0