Region,Global #,Without Security Headers (Public) #,Without Security Headers (Public) %,Without Security Headers (Private) #,Without Security Headers (Private) %,With At Least One Security Header (Public) #,With At Least One Security Header (Public) %,With At Least One Security Header (Private) #,With At Least One Security Header (Private) %,With All Security Headers (Public) #,With All Security Headers (Public) %,With All Security Headers (Private) #,With All Security Headers (Private) %
Wyoming,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Nevada,10,0,0.0,1,10.0,3,30.0,6,60.0,0,0.0,0,0.0
Nebraska,21,0,0.0,2,9.523809523809524,7,33.33333333333333,12,57.14285714285714,0,0.0,0,0.0
Oregon,29,0,0.0,6,20.689655172413794,9,31.03448275862069,14,48.275862068965516,0,0.0,0,0.0
Rhode Island,11,0,0.0,0,0.0,2,18.181818181818183,9,81.81818181818183,0,0.0,0,0.0
District of Columbia,12,0,0.0,3,25.0,1,8.333333333333332,8,66.66666666666666,0,0.0,0,0.0
Delaware,5,0,0.0,0,0.0,2,40.0,3,60.0,0,0.0,0,0.0
Idaho,8,0,0.0,1,12.5,4,50.0,3,37.5,0,0.0,0,0.0
Utah,14,0,0.0,2,14.285714285714285,3,21.428571428571427,9,64.28571428571429,0,0.0,0,0.0
Connecticut,28,0,0.0,6,21.428571428571427,11,39.285714285714285,11,39.285714285714285,0,0.0,0,0.0
Washington,30,0,0.0,5,16.666666666666664,8,26.666666666666668,17,56.666666666666664,0,0.0,0,0.0
Arizona,21,0,0.0,0,0.0,4,19.047619047619047,17,80.95238095238095,0,0.0,0,0.0
California,163,2,1.2269938650306749,19,11.65644171779141,30,18.404907975460123,112,68.71165644171779,0,0.0,0,0.0
Ohio,74,1,1.3513513513513513,11,14.864864864864865,15,20.27027027027027,47,63.51351351351351,0,0.0,0,0.0
Indiana,53,1,1.8867924528301887,5,9.433962264150944,13,24.528301886792452,34,64.15094339622641,0,0.0,0,0.0
Wisconsin,39,1,2.564102564102564,3,7.6923076923076925,14,35.8974358974359,21,53.84615384615385,0,0.0,0,0.0
Iowa,34,1,2.941176470588235,4,11.76470588235294,2,5.88235294117647,27,79.41176470588235,0,0.0,0,0.0
North Carolina,63,2,3.1746031746031744,8,12.698412698412698,14,22.22222222222222,39,61.904761904761905,0,0.0,0,0.0
New York,175,6,3.428571428571429,47,26.857142857142858,34,19.428571428571427,88,50.28571428571429,0,0.0,0,0.0
New Jersey,48,2,4.166666666666666,17,35.41666666666667,11,22.916666666666664,18,37.5,0,0.0,0,0.0
Michigan,48,2,4.166666666666666,10,20.833333333333336,13,27.083333333333332,23,47.91666666666667,0,0.0,0,0.0
Minnesota,41,2,4.878048780487805,6,14.634146341463413,10,24.390243902439025,23,56.09756097560976,0,0.0,0,0.0
West Virginia,20,1,5.0,4,20.0,9,45.0,6,30.0,0,0.0,0,0.0
Illinois,74,4,5.405405405405405,12,16.216216216216218,8,10.81081081081081,50,67.56756756756756,0,0.0,0,0.0
Massachusetts,73,4,5.47945205479452,8,10.95890410958904,9,12.32876712328767,52,71.23287671232876,0,0.0,0,0.0
Pennsylvania,108,6,5.555555555555555,21,19.444444444444446,15,13.88888888888889,66,61.111111111111114,0,0.0,0,0.0
Alabama,32,2,6.25,5,15.625,12,37.5,13,40.625,0,0.0,0,0.0
Florida,76,5,6.578947368421052,16,21.052631578947366,8,10.526315789473683,47,61.8421052631579,0,0.0,0,0.0
South Dakota,15,1,6.666666666666667,2,13.333333333333334,6,40.0,6,40.0,0,0.0,0,0.0
Tennessee,44,3,6.8181818181818175,5,11.363636363636363,7,15.909090909090908,29,65.9090909090909,0,0.0,0,0.0
Kansas,29,2,6.896551724137931,5,17.24137931034483,6,20.689655172413794,16,55.172413793103445,0,0.0,0,0.0
New Hampshire,14,1,7.142857142857142,3,21.428571428571427,4,28.57142857142857,6,42.857142857142854,0,0.0,0,0.0
Virginia,53,4,7.547169811320755,7,13.20754716981132,11,20.754716981132077,31,58.490566037735846,0,0.0,0,0.0
Texas,107,9,8.411214953271028,21,19.626168224299064,32,29.906542056074763,45,42.05607476635514,0,0.0,0,0.0
Georgia,55,5,9.090909090909092,7,12.727272727272727,14,25.454545454545453,29,52.72727272727272,0,0.0,0,0.0
Maryland,33,3,9.090909090909092,3,9.090909090909092,11,33.33333333333333,16,48.484848484848484,0,0.0,0,0.0
New Mexico,10,1,10.0,0,0.0,6,60.0,3,30.0,0,0.0,0,0.0
Vermont,10,1,10.0,0,0.0,2,20.0,7,70.0,0,0.0,0,0.0
Missouri,56,6,10.714285714285714,12,21.428571428571427,7,12.5,31,55.35714285714286,0,0.0,0,0.0
Mississippi,18,2,11.11111111111111,1,5.555555555555555,6,33.33333333333333,9,50.0,0,0.0,0,0.0
Colorado,26,3,11.538461538461538,3,11.538461538461538,11,42.30769230769231,9,34.61538461538461,0,0.0,0,0.0
South Carolina,36,5,13.88888888888889,2,5.555555555555555,8,22.22222222222222,21,58.333333333333336,0,0.0,0,0.0
Oklahoma,26,4,15.384615384615385,4,15.384615384615385,10,38.46153846153847,8,30.76923076923077,0,0.0,0,0.0
Kentucky,29,5,17.24137931034483,3,10.344827586206897,3,10.344827586206897,18,62.06896551724138,0,0.0,0,0.0
Arkansas,23,4,17.391304347826086,2,8.695652173913043,5,21.73913043478261,12,52.17391304347826,0,0.0,0,0.0
Maine,17,3,17.647058823529413,1,5.88235294117647,4,23.52941176470588,9,52.94117647058824,0,0.0,0,0.0
Louisiana,27,5,18.51851851851852,5,18.51851851851852,11,40.74074074074074,6,22.22222222222222,0,0.0,0,0.0
North Dakota,9,2,22.22222222222222,0,0.0,4,44.44444444444444,3,33.33333333333333,0,0.0,0,0.0
Hawaii,8,2,25.0,0,0.0,1,12.5,5,62.5,0,0.0,0,0.0
Montana,10,3,30.0,0,0.0,3,30.0,4,40.0,0,0.0,0,0.0
Alaska,5,2,40.0,0,0.0,1,20.0,2,40.0,0,0.0,0,0.0
Total,1971,118,5.986808726534754,308,15.626585489599186,445,22.577371892440386,1100,55.80923389142567,0,0.0,0,0.0