Region,Quartile,Without SSL (pub),RSA (pub),ECC (pub),Without SSL (pvt),RSA (pvt),ECC (pvt)
Iowa,1,0.0,66.66666666666666,33.33333333333333,0.0,66.66666666666666,33.33333333333333
Nebraska,1,0.0,71.42857142857143,28.57142857142857,0.0,71.42857142857143,28.57142857142857
Maine,1,0.0,71.42857142857143,28.57142857142857,0.0,71.42857142857143,28.57142857142857
Kansas,1,0.0,75.0,25.0,0.0,75.0,25.0
Oklahoma,1,0.0,78.57142857142857,21.428571428571427,0.0,78.57142857142857,21.428571428571427
Pennsylvania,1,4.761904761904762,80.95238095238095,14.285714285714285,4.761904761904762,80.95238095238095,14.285714285714285
Virginia,1,0.0,86.66666666666667,13.333333333333334,0.0,86.66666666666667,13.333333333333334
Oregon,1,0.0,88.88888888888889,11.11111111111111,0.0,88.88888888888889,11.11111111111111
Missouri,1,0.0,92.3076923076923,7.6923076923076925,0.0,92.3076923076923,7.6923076923076925
Indiana,1,0.0,92.85714285714286,7.142857142857142,0.0,92.85714285714286,7.142857142857142
Wisconsin,1,0.0,93.33333333333333,6.666666666666667,0.0,93.33333333333333,6.666666666666667
North Carolina,1,0.0,93.75,6.25,0.0,93.75,6.25
Georgia,1,0.0,94.73684210526315,5.263157894736842,0.0,94.73684210526315,5.263157894736842
California,2,0.0,96.875,3.125,0.0,96.875,3.125
Alabama,2,0.0,100.0,0.0,0.0,100.0,0.0
Nevada,2,0.0,100.0,0.0,0.0,100.0,0.0
New Hampshire,2,0.0,100.0,0.0,0.0,100.0,0.0
New Jersey,2,0.0,100.0,0.0,0.0,100.0,0.0
New Mexico,2,0.0,100.0,0.0,0.0,100.0,0.0
North Dakota,2,0.0,100.0,0.0,0.0,100.0,0.0
Ohio,2,0.0,100.0,0.0,0.0,100.0,0.0
Rhode Island,2,0.0,100.0,0.0,0.0,100.0,0.0
South Carolina,2,0.0,100.0,0.0,0.0,100.0,0.0
South Dakota,2,0.0,100.0,0.0,0.0,100.0,0.0
Tennessee,2,0.0,100.0,0.0,0.0,100.0,0.0
Texas,3,0.0,100.0,0.0,0.0,100.0,0.0
Utah,3,0.0,100.0,0.0,0.0,100.0,0.0
Vermont,3,0.0,100.0,0.0,0.0,100.0,0.0
Washington,3,0.0,100.0,0.0,0.0,100.0,0.0
West Virginia,3,0.0,100.0,0.0,0.0,100.0,0.0
Alaska,3,0.0,100.0,0.0,0.0,100.0,0.0
Idaho,3,0.0,100.0,0.0,0.0,100.0,0.0
Arizona,3,0.0,100.0,0.0,0.0,100.0,0.0
Arkansas,3,0.0,100.0,0.0,0.0,100.0,0.0
Colorado,3,0.0,100.0,0.0,0.0,100.0,0.0
Connecticut,3,0.0,100.0,0.0,0.0,100.0,0.0
Delaware,3,0.0,100.0,0.0,0.0,100.0,0.0
District of Columbia,4,0.0,100.0,0.0,0.0,100.0,0.0
Florida,4,0.0,100.0,0.0,0.0,100.0,0.0
Hawaii,4,0.0,100.0,0.0,0.0,100.0,0.0
Illinois,4,0.0,100.0,0.0,0.0,100.0,0.0
Mississippi,4,0.0,100.0,0.0,0.0,100.0,0.0
Kentucky,4,0.0,100.0,0.0,0.0,100.0,0.0
Louisiana,4,0.0,100.0,0.0,0.0,100.0,0.0
Maryland,4,0.0,100.0,0.0,0.0,100.0,0.0
Massachusetts,4,0.0,100.0,0.0,0.0,100.0,0.0
Michigan,4,0.0,100.0,0.0,0.0,100.0,0.0
Minnesota,4,0.0,100.0,0.0,0.0,100.0,0.0
Wyoming,4,0.0,100.0,0.0,0.0,100.0,0.0
New York,4,2.5,97.5,0.0,2.5,97.5,0.0
Montana,4,16.666666666666664,83.33333333333334,0.0,16.666666666666664,83.33333333333334,0.0
Total,4,0.5328596802841918,95.5595026642984,3.9076376554174073,0.5328596802841918,95.5595026642984,3.9076376554174073