Region,Global #,Without SSL #,Without SSL %,RSA #,RSA %,ECC #,ECC %
Virginia,38,2,5.263157894736842,34,89.47368421052632,2,5.263157894736842
Oregon,20,1,5.0,18,90.0,1,5.0
New Jersey,35,1,2.857142857142857,22,62.857142857142854,12,34.285714285714285
Georgia,36,1,2.7777777777777777,32,88.88888888888889,3,8.333333333333332
Ohio,58,1,1.7241379310344827,53,91.37931034482759,4,6.896551724137931
California,131,1,0.7633587786259541,123,93.89312977099237,7,5.343511450381679
New York,135,1,0.7407407407407408,110,81.48148148148148,24,17.77777777777778
Alabama,18,0,0.0,17,94.44444444444444,1,5.555555555555555
Nevada,7,0,0.0,7,100.0,0,0.0
New Hampshire,9,0,0.0,7,77.77777777777779,2,22.22222222222222
New Mexico,3,0,0.0,3,100.0,0,0.0
North Carolina,47,0,0.0,45,95.74468085106383,2,4.25531914893617
North Dakota,3,0,0.0,3,100.0,0,0.0
Oklahoma,12,0,0.0,7,58.333333333333336,5,41.66666666666667
Rhode Island,9,0,0.0,9,100.0,0,0.0
Pennsylvania,87,0,0.0,84,96.55172413793103,3,3.4482758620689653
Montana,4,0,0.0,4,100.0,0,0.0
South Carolina,23,0,0.0,23,100.0,0,0.0
South Dakota,8,0,0.0,8,100.0,0,0.0
Tennessee,34,0,0.0,33,97.05882352941177,1,2.941176470588235
Texas,66,0,0.0,56,84.84848484848484,10,15.151515151515152
Utah,11,0,0.0,11,100.0,0,0.0
Vermont,7,0,0.0,6,85.71428571428571,1,14.285714285714285
Washington,22,0,0.0,21,95.45454545454545,1,4.545454545454546
West Virginia,10,0,0.0,9,90.0,1,10.0
Nebraska,14,0,0.0,13,92.85714285714286,1,7.142857142857142
Missouri,43,0,0.0,38,88.37209302325581,5,11.627906976744185
Alaska,2,0,0.0,2,100.0,0,0.0
Illinois,62,0,0.0,55,88.70967741935483,7,11.29032258064516
Arizona,17,0,0.0,17,100.0,0,0.0
Arkansas,14,0,0.0,14,100.0,0,0.0
Colorado,12,0,0.0,11,91.66666666666666,1,8.333333333333332
Connecticut,17,0,0.0,15,88.23529411764706,2,11.76470588235294
Delaware,3,0,0.0,3,100.0,0,0.0
District of Columbia,11,0,0.0,10,90.9090909090909,1,9.090909090909092
Florida,63,0,0.0,59,93.65079365079364,4,6.349206349206349
Hawaii,5,0,0.0,5,100.0,0,0.0
Idaho,4,0,0.0,4,100.0,0,0.0
Indiana,39,0,0.0,38,97.43589743589743,1,2.564102564102564
Mississippi,10,0,0.0,8,80.0,2,20.0
Iowa,31,0,0.0,30,96.7741935483871,1,3.225806451612903
Kansas,21,0,0.0,20,95.23809523809523,1,4.761904761904762
Kentucky,21,0,0.0,18,85.71428571428571,3,14.285714285714285
Louisiana,11,0,0.0,11,100.0,0,0.0
Maine,10,0,0.0,10,100.0,0,0.0
Maryland,19,0,0.0,17,89.47368421052632,2,10.526315789473683
Massachusetts,60,0,0.0,56,93.33333333333333,4,6.666666666666667
Michigan,33,0,0.0,29,87.87878787878788,4,12.121212121212121
Minnesota,29,0,0.0,28,96.55172413793103,1,3.4482758620689653
Wisconsin,24,0,0.0,24,100.0,0,0.0
Total,1408,8,0.5681818181818182,1280,90.9090909090909,120,8.522727272727272